url,source,crawl_date,company_name,company_position,job_detail_detail_position,company_size,job_detail_name,job_detail_salary,job_detail_part_time,job_detail_full_time,job_detail_remote,job_detail_job_requirements_line,job_detail_year_of_exp,job_detail_job_level
https://www.topcv.vn/viec-lam/senior-scrum-master/1290383.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-21 20:44:10,OpenCommerce Group,['Hà Nội'],"- Hà Nội: 130 Trung Phụng, Đống Đa, Hà Nội, Đống Đa",100-499 nhân viên,Senior Scrum Master,Thoả thuận,False,True,True,"['Yêu cầu ứng viên', 'Requirements', 'Minimum of 3 years of experience in software projects (in positions such as Scrum Master, QA Lead, or Project Manager).', 'In-depth knowledge of Scrum and Agile methodologies, including proficiency in daily scrums, sprint planning, showcases, and retrospectives.', 'Understanding of product discovery and development processes to achieve business goals.', 'Ability to provide constructive and timely feedback to delivery team members and stakeholders.', 'Setting the pace/cadence for delivery and motivating teams to succeed.', 'Proficient use of allocation tools, MS Office and/or Google Docs, Excel/Spreadsheet, MS Project, and other Task Management Tools.', 'Technical Understanding:', 'Preferably have a technical background and required knowledge about software development.', 'Conduct problem-solving workshops with a technical focus.']","['3 năm', 'Việc làm liên quan', '3 năm']",['senior']
https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat/537670.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-21 20:44:24,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ PHÁT TRIỂN CÔNG NGHỆ TIÊN PHONG,['Hà Nội'],"- Hà Nội: Số 12 ngõ 40 Phố Nghĩa Đô, Xuân La, Tây Hồ, Hà Nội, Tây Hồ",10-24 nhân viên,Nhân Viên Kỹ Thuật,9 - 12 triệu,False,True,False,"['Yêu cầu ứng viên', '- Tốt nghiệp trung cấp nghề/ cao đẳng nghề trở lên, chuyên ngành Công nghệ thông tin, điện - điện tử, điện tử viễn thông,... hoặc các chuyên ngành có liên quan;', '-Có hiểu biết về: Hạ tầng mạng, Hệ thống camera an ninh, Hệ thống kiểm soát ra vào, Hệ thống âm thanh, Hệ thống tổng đài nội bộ', '- Yêu cầu kinh nghiệm: Từ 1 năm trở lên;', '- Có kinh nghiệm về lắp đặt cấu hình các thiết bị trong lĩnh vực điện nhẹ', '- Đọc hiểu tài liệu kỹ thuật, hiểu biết về Auto Cad, tin học văn phòng', '- Có sức khỏe tốt, trung thực, thật thà, ham học hỏi, có trách nhiệm trong công việc.']","['1 năm', 'Việc làm liên quan', '1 năm']",[]
https://www.topcv.vn/viec-lam/quality-assurance-qa/1172745.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-21 20:44:56,CÔNG TY CỔ PHẦN SHARITEK VIỆT NAM,['Hà Nội'],"- Hà Nội: Tòa Hải Ngân - 9A Thanh Liệt (396 Nguyễn Xiển), Thanh Trì",100-499 nhân viên,Quality Assurance /QA,20 - 40 triệu,False,True,False,"['Yêu cầu ứng viên', 'Tốt nghiệp Đại học trở lên các chuyên ngành liên quan', 'Có hiểu biết về quy trình phát triển sản phẩm phần mềm.', 'Có kinh nghiệm ở vị trí QA/ Tester các dự án phầm mềm.', 'Ưu tiên ứng viên có kinh nghiệm trong các dự án về sản xuất, thương mại, quản trị doanh nghiệp.']","['2 năm', 'Việc làm liên quan', '2 năm']",[]
https://www.topcv.vn/viec-lam/business-analyst-product-manager/1156813.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-21 20:45:11,CÔNG TY CỔ PHẦN SHARITEK VIỆT NAM,['Hà Nội'],"- Hà Nội: Tòa Hải Ngân - 9A Thanh Liệt, Thanh Trì",100-499 nhân viên,Business Analyst - Product Manager,"1,200 - 2,500 USD",False,True,False,"['Yêu cầu ứng viên', 'Có kinh nghiệm tiếp nhận, phân tích yêu cầu nghiệp vụ từ khách hàng để lên mock up design, wireframe, lên tài liệu đặc tả yêu cầu phần mềm SRS (Software Requirement Specification), làm việc với team phát triển để lên được lịch phát triển;', 'Có kinh nghiệm quản lý source code, hệ thống build, release, version control, quản lý dự án theo mô hình Agile;', 'Làm việc với đối tác phần cứng để thống nhất đặc tính sản phẩm, thời gian và tiêu chuẩn chất lượng.']","['3 năm', 'Việc làm liên quan', '3 năm']",[]
https://www.topcv.vn/viec-lam/nhan-vien-trien-khai-va-ho-tro-phan-mem/1290280.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-21 20:45:21,CÔNG TY CỔ PHẦN CÔNG NGHỆ MOBIWORK VIỆT NAM,['Hà Nội'],"- Hà Nội: Khu văn phòng tầng 3, toà nhà CT1, Khu nhà ở Bộ Công An, đường Phạm Văn Đồng, phường Cổ Nhuế 2, Bắc Từ Liêm",100-499 nhân viên,Nhân Viên Triển Khai Và Hỗ Trợ Phần Mềm,8 - 17 triệu,False,True,False,"['Yêu cầu ứng viên', '1.Cần phải có', 'Có tối thiểu 06 tháng làm công việc Tư vấn triển khai/ Triển khai đào tạo phần mềm', 'Có kỹ năng giao tiếp tốt (có kỹ năng thuyết trình, đào tạo, hướng dẫn người dùng)', 'Kỹ năng tin học văn phòng tốt', 'Thái độ: trung thực, cầu tiến, có trách nhiệm trong công việc', '2. Có thì tốt', 'Tốt nghiệp Cao đẳng/Đại học, chuyên ngành: công nghệ thông tin, hệ thống thông tin, QTKD, kỹ thuật,...', 'Đã từng làm việc với các phần mềm: Quản lý xây dựng/ Quản lý nhân sự/ ERP hoặc làm việc trong lĩnh vực Xây dựng/ Nhân sự là lợi thế..']","['Dưới 1 năm', 'Việc làm liên quan', 'Dưới 1 năm']",[]
https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-phan-mem/1289912.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-21 20:45:40,CÔNG TY TNHH XÚC TIẾN ĐẦU TƯ THƯƠNG MẠI SUPCOM VIỆT NAM,['Hà Nội'],"- Hà Nội: Tầng 7 Toà nhà Viglacera 676 Hoàng Hoa Thám, Phường Bưởi, Quận Tây Hồ, Thành phố Hà Nội,, Tây Hồ",25-99 nhân viên,Nhân Viên Kỹ Thuật Phần Mềm,8 - 10 triệu,False,True,False,"['Yêu cầu ứng viên', 'Nam, tuổi từ 18 – 27, tốt nghiệp Cao đẳng trở lên', 'Giao tiếp thân thiên, vui vẻ, thích chia sẻ kiến thức công nghệ cho khách hàng', 'Đã từng dùng, am hiểu ,yêu thích các hệ điều hành và các sản phẩm công nghệ', 'Ưu tiên tốt nghiệp các chuyên ngành khối ngành CNTT, Tin học, Điện tử Viễn Thông...', 'Trung thực, chăm chỉ và chịu được áp lực công việc']","['Không yêu cầu kinh nghiệm', 'Việc làm liên quan', 'Không yêu cầu kinh nghiệm']",[]
https://www.topcv.vn/viec-lam/flutter-developer/1156801.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-21 20:45:55,CÔNG TY CỔ PHẦN SHARITEK VIỆT NAM,['Hà Nội'],"- Hà Nội: Tòa Hải Ngân - 9A Thanh Liệt, Thanh Trì",100-499 nhân viên,Flutter Developer,"1,200 - 2,500 USD",False,True,False,"['Yêu cầu ứng viên', 'Có kinh nghiệm phát triển ứng dụng native, mô hình Cloud, kinh nghiệm làm việc với các hệ thống quản lý source code git, mô hình Agile;', 'Đã release các ứng dụng trên Play Store và App Store là lợi thế;', 'Có kinh nghiệm mô hình MVP sử dụng bloc provider, Kĩ thuật isolate thread management, rxDart, OOP, Component; Kinh nghiệm làm theo mô hình MVVM là 1 lợi thế;', 'Có kinh nghiệm về REST APIs với http, dio;', 'Có kinh nghiệm về communicate Flutter with Native (Android, iOS), Cơ sở dữ liệu;', 'Có kiến thức và kinh nghiệm làm việc trên Git, Jira;', 'Có tinh thần học hỏi, khả năng nghiên cứu công nghệ mới, chủ động và có trách nhiệm trong công việc;', 'Biết và nắm vững về Swift, Objective-C, XCode, UIKit, Cocoa, Pod.']","['2 năm', 'Việc làm liên quan', '2 năm']",[]
https://www.topcv.vn/viec-lam/front-end-developer/1172749.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-21 20:46:09,CÔNG TY CỔ PHẦN SHARITEK VIỆT NAM,['Hà Nội'],"- Hà Nội: Tòa Hải Ngân - 9A Thanh Liệt (396 Nguyễn Xiển), Thanh Trì",100-499 nhân viên,Front End Developer,20 - 40 triệu,False,True,False,"['Yêu cầu ứng viên', '• Thành thạo HTML, CSS, Boostrap và ngôn ngữ lập trình TypeScript;', '• Nắm rõ toàn bộ quá trình phát triển web (thiết kế, phát triển và thực thi);', '• Có kiến thức về các quy tắc trong SEO;', '• Có kinh nghiệm làm việc với Figma, xD;', '• Có kiến thức cơ bản về UX/UI;', '• Có kiến thức về Responsive Design;', '• Khả năng làm việc tốt trong môi trường tốc độ cao.']","['2 năm', 'Việc làm liên quan', '2 năm']",[]
https://www.topcv.vn/viec-lam/backend-developer/1172752.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-21 20:46:17,CÔNG TY CỔ PHẦN SHARITEK VIỆT NAM,['Hà Nội'],"- Hà Nội: Tòa Hải Ngân - 9A Thanh Liệt (396 Nguyễn Xiển), Thanh Trì",100-499 nhân viên,Backend Developer,20 - 40 triệu,False,True,False,"['Yêu cầu ứng viên', '• Kinh nghiệm phát triển dịch vụ serverless (Lambda), hướng microservice;', '• Ưu tiên kinh nghiệm IoT Core, Media Streaming, OTT, Push Notification;', '• Nắm rõ toàn bộ quá trình phát triển web (thiết kế, phát triển và thực thi);', '• Có hiểu biết cơ bản về cơ sở dữ liệu và hệ thống: MySQL, MongoDB hay PostgreSQL;', '• Có kiến thức về lập trình hướng đối tượng;', '• Khả năng làm việc tốt trong môi trường tốc độ cao, quy trình quản lý Agile.']","['2 năm', 'Việc làm liên quan', '2 năm']",[]
https://www.topcv.vn/viec-lam/business-analyst-middle-chuyen-vien-phan-tich-nghiep-vu-up-to-25m-linh-vuc-giaos-duc/1290254.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-21 20:46:25,CÔNG TY TNHH FIVE-STAR E-LEARNING,['Hà Nội'],"- Hà Nội: 35 Lạc Trung, Hai Bà Trưng",25-99 nhân viên,Business Analyst (Middle)/Chuyên Viên Phân Tích Nghiệp Vụ - Up To 25M - Lĩnh Vực Giaos Dục,18 - 25 triệu,False,True,False,"['Yêu cầu ứng viên', 'Có ít nhất 3 năm kinh nghiệm làm việc tại vị trí tương đương.', 'Tốt nghiệp Đại học/Cao đẳng ngành CNTT, Toán tin, Điện tử viễn thông, Thương mại điện tử hoặc các chuyên ngành liên quan', 'Có khả năng nghiên cứu, đọc viết các tài liệu bằng tiếng Anh.', 'Có kinh nghiệm làm việc với các dự án về HRM, CRM là một lợi thế.', 'Kỹ năng giao tiếp tốt, kỹ năng tư vấn và thuyết phục khách hàng.', 'Khả năng giao tiếp hiệu quả, làm cầu nối giữa đối tác triển khai, nhà cung cấp giải pháp, các nhóm nội bộ và các bộ phận khác để thu thập và trao đổi các yêu cầu nghiệp vụ/chức năng.', 'Có khả năng tư vấn trên góc độ nghiệp vụ dựa vào các phân tích và nghiên cứu của mình.', 'Có kỹ năng và kinh nghiệm test là một lợi thế.', 'Khả năng suy luận, tư duy logic tốt về phân tích hệ thống, quy trình nghiệp vụ và đặc tả yêu cầu.', 'Có tinh thần làm việc theo nhóm, tinh thần trách nhiệm cao, đặt hiệu quả và thời hạn công việc lên hàng đầu. Sẵn sàng làm thêm giờ nếu có yêu cầu.']","['Không yêu cầu kinh nghiệm', 'Việc làm liên quan', 'Không yêu cầu kinh nghiệm']",[]
