url,source,crawl_date,company_name,company_position,job_detail_detail_position,company_size,job_detail_name,job_detail_salary,job_detail_part_time,job_detail_full_time,job_detail_job_requirements_line,job_detail_year_of_exp,job_detail_job_level,job_detail_hybrid,job_detail_year_exp_from_requirement,job_detail_year_exp_from_requirement_and_year_exp,job_detail_salary_range,job_detail_currency,new_col,job_detail_salary_range_max,job_detail_salary_range_min,job_detail_extracted_skill,job_detail_extracted_job_role
https://www.topcv.vn/viec-lam/front-end-developer-react-js-luong-upto-2000/1300330.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:05:17,,['Hà Nội'],"- Hà Nội: Tầng 19, Leadvisors Tower, 643 Phạm Văn Đồng, Cổ Nhuế, Bắc Từ Liêm",,Front-End Developer (React.JS) Lương Upto 2000$,"Tới 2,000 USD",False,False,"['Yêu cầu ứng viên', 'Ít nhất 1 năm kinh nghiệm làm việc với ReactJS trong môi trường phát triển web.', 'Thành thạo JavaScript, jQuery, Bootstrap, Typescript, ES6, CSS3, HTML5, ESLint.', 'Nắm vững lập trình hướng đối tượng với JavaScript.', 'Có kinh nghiệm phát triển và tích hợp RESTful API,.', 'Có kinh nghiệm triển khai giao diện web responsive, đảm bảo trải nghiệm người dùng mượt mà trên nhiều loại thiết bị và kích thước màn hình.']",1,,False,1.0,1.0,[50000000.0],usd,1,50000000.0,0.0,"['reactjs', 'javascript', 'css3', 'typescript', 'html5', 'jquery', 'es6', 'bootstrap', 'restful api']",front-end developer
https://www.topcv.vn/viec-lam/nhan-vien-xu-ly-du-lieu-tieng-nhat-tieng-nhat-n3/1286664.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:05:23,,['Hà Nội'],"- Hà Nội: Mễ Trì, Nam Từ Liêm",,Nhân Viên Xử Lý Dữ Liệu Tiếng Nhật (Tiếng Nhật N3),Thoả thuận,False,False,"['Yêu cầu ứng viên', '- Tốt nghiệp đại học, cao đẳng.', '- Tiếng Nhật tương đương N3.', '- Thành thạo tin học văn phòng, đặc biệt là Excel, Word.', '- Có khả năng giao tiếp tốt, nhanh nhẹn, chăm chỉ và ham học hỏi.', '- Yêu thích làm việc trong môi trường công ty Nhật Bản.']",0,,False,,0.0,[],,0,0.0,0.0,[],xử lý dữ liệu tiếng nhật
https://www.topcv.vn/viec-lam/backend-developer/1297413.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:05:32,,['Hà Nội'],- Hà Nội: Cầu Giấy,,Backend Developer,15 - 25 triệu,False,False,"['Yêu cầu ứng viên', 'Must have:', 'At least 2-3 years of experience working with PHP & MySQL.', 'Good understanding at least one of the following frameworks|cms|platform: Laravel, Wordpress, Shopify.', 'Good to have:', '1-2 years working experiences on Wordpress, Shopify.', 'Experienced with building e-commerce websites or landing pages using wordpress.', 'Ability to work on multiple projects.', 'English: basic']",2,,False,2.0,2.0,"[15000000.0, 25000000.0]",,2,25000000.0,15000000.0,"['php', 'wordpress', 'laravel', 'wordpress', 'basic']",backend developer
https://www.topcv.vn/viec-lam/qa-manual-developer-senior/1207925.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:05:46,,['Hồ Chí Minh'],"- Hồ Chí Minh: QTSC 1 Building, khu phần mềm Quang Trung, Quận 12",,QA Manual Developer (Senior),Thoả thuận,False,True,"['Yêu cầu ứng viên', 'Your Skills and Experience (Kỹ năng và kinh nghiệm của bạn)', '2-4 years of experience in software quality assurance (QA) or quality control (QC)', '(2-4 năm kinh nghiệm trong lĩnh vực đảm bảo chất lượng phần mềm (QA) hoặc kiểm soát chất lượng (QC))', 'Strong knowledge of software testing methodologies and procedures', '(Kiến thức vững chắc về các phương pháp và quy trình kiểm thử phần mềm)', 'Experience with manual and automated testing tools and technologies.', '(Kinh nghiệm với các công cụ và công nghệ kiểm tra thủ công và tự động)', 'Familiarity with software development methodologies (e.g. Agile, Scrum)', '(Làm quen với các phương pháp phát triển phần mềm (ví dụ: Agile, Scrum))', 'Knowledge of SQL and database technologies', '(Kiến thức về SQL và công nghệ cơ sở dữ liệu)', 'Strong analytical and problem-solving skills', '(Kỹ năng phân tích và giải quyết vấn đề tốt)', 'Excellent verbal and written communication skills', '(Kỹ năng giao tiếp bằng lời nói và văn bản xuất sắc)', ""Bachelor's degree (or higher) in Computer Science, Software Engineering, or related field"", '(Bằng cử nhân (hoặc cao hơn) về Khoa học Máy tính, Kỹ thuật phần mềm hoặc lĩnh vực liên quan)']",3,senior,True,2.0,3.0,[],,0,0.0,0.0,"['software testing', 'software development', 'sql', 'sql', 'computer science']",qa manual developer
https://www.topcv.vn/viec-lam/lap-trinh-vien-php-senior/1299695.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:05:57,,['Hà Nội'],"- Hà Nội: KĐT Ocean Park -Gia Lâm -Hà Nội, Gia Lâm",,Lập Trình Viên PHP (Senior),Tới 35 triệu,False,False,"['Yêu cầu ứng viên', '- Thành thạo ngôn ngữ lập trình PHP, có kinh nghiệm sâu một trong các framework: Laravel 5 - 10, CakePHP, Zend, CodeIgniter (Đặc biệt là Laravel)', '- Thành thạo HTML/Javascript/jQuery/CSS/AJAX.', '- Thành thạo ít nhất 1 library/framework để phát triển front-end: Bootstrap (3-5), Angular2, VueJS (2-3), ReactJS,v.v...', '- Thành thạo việc xây dựng và sử dụng web service (XML, JSON)', '- Thành thạo việc sử dụng các large task, job, query background', '- Có kinh nghiệm về API Restful', '- Biết Unit testing', '- Có kinh nghiệm sử dụng ít nhất 1 hệ quản trị cơ sở dữ liệu MySQL, Postgresql, Oracle, Microsoft SQL Server, MongoDB', '- Kinh nghiệm devoloper ít nhất 5 năm trở lên.', '- Có kinh nghiệm quản lý dự án, có khả năng làm việc độc lập, làm việc theo đội/nhóm. có khả năng lập kế hoạch trong công việc.', '- Ưu tiên ứng viên có hiểu biết 1 trong các công nghệ khác như NodeJS, .NET, Python, Ruby...']",5,senior,False,,5.0,[35000000.0],,1,35000000.0,0.0,"['php', 'codeigniter', 'laravel', 'zend', 'cakephp', 'vuejs', 'angular2', 'bootstrap', 'reactjs', 'restful', 'api', 'unit testing', 'mysql', 'sql', 'oracle', 'mongodb', 'postgresql', '.net', 'nodejs', 'python']",lập trình viên php
https://www.topcv.vn/viec-lam/qc-tester-manual-tester-tieng-anh-co-ban-luong-upto-45m-tai-phu-nhuan/1287905.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:06:10,,['Hồ Chí Minh'],- Hồ Chí Minh: Phú Nhuận,,"QC Tester /Manual Tester Tiếng Anh Cơ Bản - Lương Upto 45M, Tại Phú Nhuận",30 - 43 triệu,False,False,"['Yêu cầu ứng viên', 'Good at English.', 'At least 2 years hands-on experience as a manual QC. Solid knowledge of functional, integration and regression testing. Knowledge of API, performance and security testing is a plus.', 'Dynamic, proactive and high team spirit in a dynamic environment with international colleagues and in a continuous integration/delivery process.', 'Willing to learn, ready to ask team members and clients proactively about issues or problems.', 'Have in-depth understanding of the project and life cycle of testing, phase testing objectives, acceptance criteria and risk-based approaches to testing.', 'Ability to manage and prioritize multiple, diverse features simultaneously.', 'Carefulness, Strong logical thinking and analytical skills.', 'Good at Time management.']",2,,False,2.0,2.0,"[30000000.0, 43000000.0]",,2,43000000.0,30000000.0,"['security testing', 'api', 'solid']",qc tester /manual tester tiếng anh cơ bản
https://www.topcv.vn/viec-lam/lap-trinh-vien-web-full-stack/1198591.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:06:24,,['Hà Nội'],"- Hà Nội: 46 Vương Thừa Vũ, Thanh Xuân",,Lập Trình Viên Web Full Stack,25 - 35 triệu,False,False,"['Yêu cầu ứng viên', '- Có kiến thức tốt về OOP, Clean architecture, ưu tiên có hiểu biết về các design patterns', '- Có trên 1 năm kinh nghiệm Golang hoặc PHP', '- Có trên 1 năm kinh nghiệm với lập trình front-end, thành thạo HTML, CSS, Javascript hoặc Typescript. Đã sử dụng một trong các Framework Vuejs, Angular, React', '- Có kinh nghiệm trong việc phân tích, thiết kế, tối ưu code', '- Có kinh nghiệm trong việc phân tích, thiết kế, tối ưu hệ thống', '- Có kinh nghiệm trong việc phân tích, thiết kế, tối ưu DB', '- Ứng viên có kinh nghiệm quản lý nhóm, đào tạo các thành viên khác trong nhóm là 1 lợi thế', '- Ưu tiên ứng viên có kinh nghiệm triển khai hoặc sử dụng Scrum trong quá trình làm việc', '- Ưu tiên ứng viên có kinh nghiệm làm việc trong công ty product với các techstack phức tạp (outsource ít ưu tiên hơn)']",3,,False,1.0,3.0,"[25000000.0, 35000000.0]",,2,35000000.0,25000000.0,"['design patterns', 'clean architecture', 'oop', 'golang', 'php', 'javascript', 'css', 'vuejs', 'html']",lập trình viên web full stack
https://www.topcv.vn/viec-lam/senior-devops-engineer-thu-nhap-tu-30-trieu/1295986.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:06:48,,['Hà Nội'],"- Hà Nội: Tầng 2, tòa nhà 229 Tây Sơn, Ngã Tư Sở, Đống Đa",,Senior DevOps Engineer (Thu Nhập Từ 30 Triệu),Trên 30 triệu,False,False,"['Yêu cầu ứng viên', '● Có kinh nghiệm tốt với các dịch vụ đám mây như AWS, Azure, Google Cloud, CMC Cloud...', '● Có khả năng vận hành các hệ thống được xây dựng bằng K8s', '● Có kiến thức tốt về docker, micro service', '● Kiến thức vững về mã nguồn mở và công cụ tự động hóa như Ansible, Chef, Puppet hoặc Jenkins', '● Hiểu biết vững về mô hình hệ thống phân tán và các nguyên tắc cơ bản của mạng.', '● Có kỹ năng tốt về giải quyết vấn đề và tư duy logic', '● Ưu tiên ứng viên có chứng chỉ liên quan như AWS Certified DevOps Engineer hoặc tương tự.', '● Biết lập trình C# là một lợi thế', '● Kỹ năng tốt về tương tác và giao tiếp', '● Có khả năng mô tả, phân công công việc, xử lý tình huồng tốt', '● Kỹ năng làm việc độc lập cao và khả năng giải quyết vấn đề tốt.']",3,senior,False,,3.0,[30000000.0],,1,30000000.0,0.0,"['aws', 'k8s', 'docker', 'ansible', 'chef', 'jenkins', 'puppet', 'devops', 'aws', 'c#']",devops engineer
https://www.topcv.vn/viec-lam/senior-net-developer-thu-nhap-tu-30-trieu/1296000.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:07:00,,['Hà Nội'],"- Hà Nội: Tầng 2, toà nhà 229 Tây Sơn, Đống Đa",,Senior .NET Developer (Thu Nhập Từ 30 Triệu),Trên 30 triệu,False,False,"['Yêu cầu ứng viên', '● Có từ 5 năm kinh nghiệm làm việc chuyên sâu với ngôn ngữ .NET, bao gồm cả C# và ASP.NET.', '● Có kiến thức vững về các nguyên tắc OOP và thiết kế phần mềm.', '● Hiểu biết sâu về cấu trúc MVC (Model-View-Controller) và các nguyên tắc lập trình theo mô hình này.', '● Có kiến thức vững về HTML, CSS, và JavaScript để có khả năng làm việc hiệu quả với designer và frontend developer.', '● Có kiến thức tốt về cơ sở dữ liệu quan hệ như MSSQL, Mysql.', '● Có kinh nghiệm làm việc với Nodejs là một lợi thế lớn', '● Kinh nghiệm làm việc với các dự án phần mềm lớn và phức tạp.', '● Có hiểu biết vững về phát triển ứng dụng web và các cơ sở dữ liệu liên quan.', '● Có kiến thức về các framework frontend như ReactJS, VueJS, Svelte... là một lợi thế.', '● Kỹ năng tốt về viết mã sạch, dễ đọc và dễ bảo trì.', '● Kỹ năng tốt về tương tác và giao tiếp', '● Có khả năng học tập ngôn ngữ mới trong thời gian ngắn', '● Kỹ năng làm việc độc lập cao và khả năng giải quyết vấn đề tốt.']",5,senior,False,5.0,5.0,[30000000.0],,1,30000000.0,0.0,"['c#', '.net', 'oop', 'mvc', 'javascript', 'css', 'html', 'mssql', 'nodejs', 'reactjs', 'vuejs']",.net developer
https://www.topcv.vn/viec-lam/lap-trinh-vien-developer-zalo/1295219.html?ta_source=ITJobs_LinkDetail,TopCv,2024-04-14 15:07:06,,['Hà Nội'],"- Hà Nội: Tầng 8, Tòa nhà Đồng Lợi, số 2 ngõ 1160 đường Láng, phường Láng Thượng, Đống Đa",,Lập Trình Viên (Developer) - Zalo,Thoả thuận,False,False,"['Yêu cầu ứng viên', 'Tốt nghiệp Cao đẳng trở lên các ngành Công nghệ thông tin, Khoa học máy tính...', 'Có kinh nghiệm làm việc với các hệ quản trị dữ liệu: MySQL, PostgreSQL, MongoDB...', 'Có kỹ năng lập trình tốt với các ngôn ngữ như PHP, Java...', 'Kỹ năng làm việc nhóm và làm việc độc lập', 'Kiến thức về Front-End: HTML, CSS, Javascript, Jquery, NodeJS, ReactJS...']",2,,False,,2.0,[],,0,0.0,0.0,"['mysql', 'postgresql', 'php', 'javascript', 'css', 'nodejs', 'jquery', 'html']",lập trình viên
