url,source,crawl_date,company_name,company_position,company_size,job_detail_name,job_detail_salary,job_detail_full_time,job_detail_remote,job_detail_job_requirements,job_detail_job_requirements_line,job_detail_year_of_exp,job_detail_job_level,job_detail_salary_range,job_detail_currency,new_col,job_detail_salary_range_max,job_detail_salary_range_min,job_detail_extracted_skill,job_detail_extracted_job_role
https://www.itjobs.com.vn/vi/job/81790/product-data-analyst---digital-banking,ITjobs,2024-06-12 21:16:37,Trusting Social,"['132 Ham Nghi, TP Hồ Chí Minh']",10-24,Product Data Analyst - Digital Banking,Thỏa Thuận,False,False,"['Python ', 'MS SQL ', 'MS Power BI ', 'Tableau ', 'Qlikview ', 'Google Data Studio ', 'Metabase']","[""Bachelor's degree in Mathematics, Economics, Finance, Computer Science, Data Science, Information Management, or Statistics. Proven working experience as a data analyst, or credit risk analytics"", 'Having knowledge of credit products is a plus', 'Adept at full task flow from data query and collecting, report writing to presenting findings based on significant amounts of information with attention to detail and accuracy', 'Technical expertise in data models, database design development, data mining, and segmentation techniques', 'Strong knowledge of and experience with databases (SQL), familiarity with tools (Python) for analyzing datasets, and experience with other self-service data analytics tools, NoSQL is a plus', 'Have experience with data visualization tools such as PowerBI, Google Data Studio, Tableau, Metabase, QlikView, etc.', 'Willing to learn on the job and ready to adapt to changes in requirements']",,,[],,0,0.0,0.0,"['computer science', 'database design', 'data mining', 'nosql', 'tableau', 'data visualization', 'data studio', 'metabase', 'qlikview']",product data analyst
https://www.itjobs.com.vn/vi/job/81791/cv-phat-trien-he-thong---k.cntt,ITjobs,2024-06-12 21:16:41,PVcomBank,"['22 Ngo Quyen, Hà Nội']",100-499,CV Phát triển hệ thống - K.CNTT,Thỏa Thuận,False,False,"['Java ', 'Spring ', 'Core Java ', 'Oracle ', 'PostgreSQL ', 'MySQL ', 'MongoDB ', 'Github ', 'JavaEE ', 'Docker ', 'Apache Kafka ', 'Gitlab']","['Trình Độ Học Vấn:', 'Tốt nghiệp Đại học chuyên ngành Công nghệ thông tin, Kỹ thuật máy tính, hoặc các ngành liên quan.', 'Kinh Nghiệm:', 'Kinh nghiệm trong việc thiết kế và phát triển các BackEnd APIs và Services trên các cơ sở dữ liệu quan hệ (Oracle, PostgreSQL, MySQL) hoặc NoSQL (MongoDB).', 'Kinh nghiệm với Java (Core + Java EE), Spring framework, Java Web service.', 'Kinh nghiệm sử dụng git như GitHub/GitLab, Docker containers, Apache Kafka', 'ƯU TIÊN CÁC ỨNG VIÊN', 'Ham học hỏi tìm tòi sáng tạo cái mới', 'Có hiểu biết về nghiệp vụ tài chính ngân hàng', 'Có kinh nghiệm làm việc theo mô hình Agile/Scrum', 'Kinh nghiệm với IBM Cloud Paks']",,,[],,0,0.0,0.0,"['postgresql', 'nosql', 'java', 'spring', 'docker', 'apache kafka', 'git', 'ibm cloud']",phát triển hệ thống
https://www.itjobs.com.vn/vi/job/81792/cv-cao-cap-giai-phap-aws,ITjobs,2024-06-12 21:16:44,PVcomBank,"['22 Ngo Quyen, Hà Nội']",100-499,CV cao cấp Giải pháp AWS,Thỏa Thuận,False,False,"['AWS ', 'GCP ', 'Microservices ', 'Python ', 'Ansible ', 'Kubernetes ', 'Bash ', 'OCP ', 'OpenShift ', 'Terraform ', 'AWS CloudFormation ', 'IaC ', 'GitOps']","['Trình Độ Học Vấn:', 'Tốt nghiệp Đại học chuyên ngành Công nghệ thông tin, Kỹ thuật máy tính, hoặc các ngành liên quan.', 'Kinh Nghiệm: 3-6 năm', 'Kinh nghiệm làm việc với đám mây (AWS/GCP)', 'Kinh nghiệm làm việc với hệ thống lớn', 'Kinh nghiệm về Container/ Microservices/Quản lý Container tự động/ Kubernetes (K8S)/ OpenShift(OCP)', 'Kinh nghiệm với quản lý cấu hình (Ansible), Infrastructure as Code (Terraform/CloudFormation), mô hình GitOps', 'Thành thạo một hoặc nhiều ngôn ngữ kịch bản (bash/python)', 'Ưu tiên các ứng viên', 'Ham học hỏi tìm tòi sáng tạo cái mới', 'Có hiểu biết về nghiệp vụ tài chính ngân hàng', 'Có kinh nghiệm làm việc theo mô hình Agile/Scrum', 'Kinh nghiệm với IBM Cloud Paks']",,,[],,0,0.0,0.0,"['kubernetes', 'gitops', 'ibm cloud']",giải pháp aws
https://www.itjobs.com.vn/vi/job/81793/solution-consultant-accounting,ITjobs,2024-06-12 21:16:48,ATALINK Technology,"['QTSC Building 1, Street 14, TP Hồ Chí Minh']",25-99,Solution Consultant (Accounting),Thỏa Thuận,False,False,"['ERP ', 'Odoo ', 'SCM ', 'CRM ', 'DMS']","['Strong accounting knowledge is a must (VAS200 / VAS133) ', 'Bachelor degree in Information Technology, Financial Accounting, Information Management System or Business Administration ', ""A minimum of 2 years' experience as an ERP Consultant and/or IT Business Analyst related to Accounting / FA "", 'Good knowledge and experience in consulting and implementing accounting systems such as: Odoo, MISA, FAST, Bravo, … ', 'Extensive knowledge and experience of business enterprise processes, SCM, ERP, CRM, DMS solutions ', 'Good knowledge of software implementation methodologies and practices ', 'Good business process modeling skill ', 'Strong communication, mentoring, and negotiation skills with stakeholders ', 'Good at problem solving and consulting ', 'Attention to detail, organization skill and easy to talk to people']",2.0,,[],,0,0.0,0.0,"['erp', 'odoo', 'dms', 'crm', 'erp']",
https://www.itjobs.com.vn/vi/job/81794/5-automation-test-engineers,ITjobs,2024-06-12 21:16:51,SAI Digital,"['Viettel Complex Building, 285 CMT8, TP Hồ Chí Minh']",100-499,5 Automation Test Engineers,Thỏa Thuận,False,False,"['Automation Testing ', 'Java ', 'Manual Testing ', 'JUnit ', 'Jmeter ', 'Selenium ', 'BDD ', 'Cucumber ', 'Postman ', 'Rest Assured']","['Bachelor’s Degree in Computer Science, Computer Engineering or a closely related field', 'Minimum 2 years of experience in automation testing and 3 years in manual testing', 'Good English both verbal and writing', 'Ability to work independently on multiple tasks and projects', 'Ability to work well with other team members & customers', 'Team player with strong communication and interpersonal skills', 'Skilled in developing test automation scripting in Java', 'Experienced in automated testing tools/frameworks (Postman, Selenium, JUnit, Cucumber, Rest Assured)', 'Experience with Agile (Scrum)', 'Nice to have:', 'Experience in performance and load testing (JMeter)', 'Experience in Behaviour-Driven Development', 'Working experience in eCommerce']",2.0,,[],,0,0.0,0.0,"['computer science', 'automation testing', 'manual testing', 'java', 'cucumber', 'rest', 'selenium', 'junit', 'load testing', 'ecommerce']",automation test engineers
https://www.itjobs.com.vn/vi/job/81772/business-analyst,ITjobs,2024-06-12 21:16:56,SecuTix,"['Melody 2 Tower, 1 Dien Bien Phu, TP Hồ Chí Minh']",25-99,Business Analyst,Thỏa Thuận,False,False,"['BA ', 'MS SQL ', 'Data Modeling']","['Minimum of 3 years’ experience in business analysis or a related field.', 'Logical thinking, critical thinking, attention to details.', 'Ability to influence stakeholders and work closely with them to determine best solutions.', 'Excellent documentation and presentation skills.', 'Knowledge of SQL and data modeling.', 'Fluent communication in English.', 'Nice to have: ', 'Bachelor’s degree in Computer Science or Information Systems', 'Ability to use any UI/UX design tool', 'French or German']",3.0,,[],,0,0.0,0.0,"['sql', 'computer science', 'ui/ux']",business analyst
https://www.itjobs.com.vn/vi/job/81773/automation-test-engineer,ITjobs,2024-06-12 21:17:00,LG Electronics Development Vietnam,"['Keangnam Landmark Tower, 72 Pham Hung, Hà Nội']",100-499,Automation Test Engineer,Thỏa Thuận,False,False,"['Python ', 'Automation Testing ', 'Git ', 'Linux ', 'Jira ', 'Jenkins ', 'CI/CD ', 'CodeBeamer']","['Bachelor degree in Information Technology, Computer Science, Computer Engineering, Electronic Engineering, Telecommunication Engineering or equivalent; ', 'Ability to read and understand English documents specialized in IT field. ', 'Has at least 1 year experience in coding position (Automation Testing or/and Developer), with at least 0.5 year experience in Python language.', 'Experience in using Git & Application Life Cycle Management tool (e.g., Jira, CodeBeamer, Polarion, etc.) ', 'Well understanding about SDLC and testing process ', 'Have knowledge about CI/CD/CT, Jenkins is preferred ', 'Experienced with Agile (Scrum/Kanban/SAFe) working methods is preferred ', 'Good knowledge about Linux is a plus, had knowledge about Reg.ex is a plus. ', 'Has good logical thinking, good at team working']",1.0,,[],,0,0.0,0.0,"['computer science', 'python', 'jira', 'git', 'sdlc', 'jenkins', 'linux']",automation test engineer
https://www.itjobs.com.vn/vi/job/81774/frontend-developer,ITjobs,2024-06-12 21:17:04,Kilala Communication,"['Capital Place Building, 6 Thai Van Lung, TP Hồ Chí Minh']",10-24,Frontend Developer,Thỏa Thuận,False,False,"['JavaScript ', 'HTML ', 'CSS ', 'jQuery ', 'Ajax ', 'Adobe Illustrator ', 'Git ', 'Github ', 'BitBucket ', 'ES6 ', 'Webpack ', 'Adobe Photoshop ', 'Npm ', 'Sass ', 'Adobe XD']","['Kỹ năng bắt buộc:', 'Tốt nghiệp Đại học/Cao đẳng ngành CNTT hoặc ngành tương đương.', 'Trên 2 năm kinh nghiệm thực tế ở vị trí Frontend: HTML, CSS(SASS), Perfect pixel website, Responsive, Cross-Browser, Javascript (jQuery, ajax, ES6...), sử dụng thư viện trình chiếu hình ảnh.', 'Biết sử dụng các file Photoshop/AdobeXD/Illustrator... để xây dựng giao diện.', 'Sử dụng tốt công cụ Git (như GitHub, BitBucket,...) để quản lý code và làm việc nhóm.', 'Có kinh nghiệm làm việc với Webpack và npm để quản lý gói dự án.', 'Kỹ năng tư duy logic và giải quyết vấn đề tốt. Biết làm việc Teamwork, kỹ lưỡng, đúng giờ. Có đam mê học hỏi và phát triển bản thân. Có trách nhiệm và không thụ động.', 'Tiếng anh cơ bản: Đọc, Viết.', 'Ưu tiên:', 'Có kiến thức về kỹ thuật SEO. Giảm thời gian Pageload.', 'Thành thạo với một trong các framework của Front-End như ReactJS, AngularJS, VueJS, NextJS,...', 'Có kinh nghiệm là việc thực tế với WordPress, MovableType,...', 'Có kinh nghiệm làm việc với RESTful API.', 'Hiểu biết cơ bản về khái niệm và các ngôn ngữ lập trình như Node.js, Python,...', 'Hiểu biết tốt về PHP và MySQL.', 'Có kinh nghiệm viết unit testing là một điểm cộng.']",2.0,,[],,0,0.0,0.0,"['ajax', 'html', 'javascript', 'github', 'bitbucket', 'git', 'npm', 'webpack', 'vuejs', 'angularjs', 'reactjs', 'nextjs', 'wordpress', 'restful', 'python', 'php', 'unit testing']",frontend developer
https://www.itjobs.com.vn/vi/job/81775/bridge-system-engineer,ITjobs,2024-06-12 21:17:08,Pasona Tech Vietnam,"['E-Town, 364 Cong Hoa, TP Hồ Chí Minh']",100-499,Bridge System Engineer,Thỏa Thuận,False,False,"['Bridge SE ', 'Jira']","['Requirements', 'Learning, writing, and conversational communication in Japanese (N2 level or above) ', 'Experience in bridging with Japanese people ', 'Experience in web system development ', 'Have teamwork spirit', 'Preference', 'Experience in team leader ', 'Experience in project management ', 'Experience working in a Japanese company ', 'Communication skills in English']",,,[],,0,0.0,0.0,[],bridge system engineer
https://www.itjobs.com.vn/vi/job/81778/python-software-engineer,ITjobs,2024-06-12 21:17:12,LG Electronics Development Vietnam,"['Keangnam Landmark Tower, 72 Pham Hung, Hà Nội']",100-499,Python Software Engineer,Thỏa Thuận,False,False,"['Python ', 'Linux ', 'JavaScript ', 'Automation Testing ', 'Regression Testing ', 'Django ', 'Functional Testing ', 'API Testing ', 'QML ', 'Non-Functional Testing']","[""• Bachelor's degree in computer science / engineering or equivalent practical experience"", '• 2+ years of experience in Python programming language, with a focus on writing clean, efficient, and maintainable code.', '• Strong problem-solving skills and the ability to analyze and debug complex issues in a timely manner.', '• Understanding for developer testing and agile testing', '• Have development experience of embedded Linux and understanding of Linux development environment', '• It is plus point if candidate knows JavaScript/ QML/ Django; has experience in the creation and automation of SW tests (e.g. regression, functionality/non-functionality, and API) and/or knowledge on testing tools: debug tools, CI/CD tools, test automaton framework.', '• Can read and write English, mostly for the technical communication with the collaborating scrum teams.']",2.0,,[],,0,0.0,0.0,"['computer science', 'python', 'agile testing', 'embedded', 'linux', 'ci/cd', 'can']",python software engineer
